N,P,T,X_ZN,component,internal_dof,vertex,NP,GM,MU,X,Y,Phase,NP(FCC_A1),NP(HCP_A3),NP(LIQUID)
1.0,101325.0,500.0,0.4,AL,0,0,0.6473966935183969,-18435.074163182573,-15844.548647638076,0.9218335790043238,0.9218335790043238,FCC_A1,,,
1.0,101325.0,500.0,0.4,AL,0,1,0.3526033064816031,-18435.074163182573,-15844.548647638076,0.009098011616448487,0.009098011616448487,HCP_A3,,,
1.0,101325.0,500.0,0.4,AL,0,2,,-18435.074163182573,-15844.548647638076,,,,,,
1.0,101325.0,500.0,0.4,AL,1,0,0.6473966935183969,-18435.074163182573,-15844.548647638076,0.9218335790043238,0.07816642099567621,FCC_A1,,,
1.0,101325.0,500.0,0.4,AL,1,1,0.3526033064816031,-18435.074163182573,-15844.548647638076,0.009098011616448487,0.9909019883835515,HCP_A3,,,
1.0,101325.0,500.0,0.4,AL,1,2,,-18435.074163182573,-15844.548647638076,,,,,,
1.0,101325.0,500.0,0.4,ZN,0,0,0.6473966935183969,-18435.074163182573,-22320.86242757112,0.07816642099567621,0.9218335790043238,FCC_A1,,,
1.0,101325.0,500.0,0.4,ZN,0,1,0.3526033064816031,-18435.074163182573,-22320.86242757112,0.9909019883835515,0.009098011616448487,HCP_A3,,,
1.0,101325.0,500.0,0.4,ZN,0,2,,-18435.074163182573,-22320.86242757112,,,,,,
1.0,101325.0,500.0,0.4,ZN,1,0,0.6473966935183969,-18435.074163182573,-22320.86242757112,0.07816642099567621,0.07816642099567621,FCC_A1,,,
1.0,101325.0,500.0,0.4,ZN,1,1,0.3526033064816031,-18435.074163182573,-22320.86242757112,0.9909019883835515,0.9909019883835515,HCP_A3,,,
1.0,101325.0,500.0,0.4,ZN,1,2,,-18435.074163182573,-22320.86242757112,,,,,,
1.0,101325.0,510.0,0.4,AL,0,0,0.6533147011539363,-18926.632143562743,-16290.521801613053,0.9129452414242643,0.9129452414242643,FCC_A1,,,
1.0,101325.0,510.0,0.4,AL,0,1,0.34668529884606375,-18926.632143562743,-16290.521801613053,0.010267099415069241,0.01026709941506924,HCP_A3,,,
1.0,101325.0,510.0,0.4,AL,0,2,,-18926.632143562743,-16290.521801613053,,,,,,
1.0,101325.0,510.0,0.4,AL,1,0,0.6533147011539363,-18926.632143562743,-16290.521801613053,0.9129452414242643,0.08705475857573576,FCC_A1,,,
1.0,101325.0,510.0,0.4,AL,1,1,0.34668529884606375,-18926.632143562743,-16290.521801613053,0.010267099415069241,0.9897329005849307,HCP_A3,,,
1.0,101325.0,510.0,0.4,AL,1,2,,-18926.632143562743,-16290.521801613053,,,,,,
1.0,101325.0,510.0,0.4,ZN,0,0,0.6533147011539363,-18926.632143562743,-22880.797590292146,0.08705475857573576,0.9129452414242643,FCC_A1,,,
1.0,101325.0,510.0,0.4,ZN,0,1,0.34668529884606375,-18926.632143562743,-22880.797590292146,0.9897329005849309,0.01026709941506924,HCP_A3,,,
1.0,101325.0,510.0,0.4,ZN,0,2,,-18926.632143562743,-22880.797590292146,,,,,,
1.0,101325.0,510.0,0.4,ZN,1,0,0.6533147011539363,-18926.632143562743,-22880.797590292146,0.08705475857573576,0.08705475857573576,FCC_A1,,,
1.0,101325.0,510.0,0.4,ZN,1,1,0.34668529884606375,-18926.632143562743,-22880.797590292146,0.9897329005849309,0.9897329005849307,HCP_A3,,,
1.0,101325.0,510.0,0.4,ZN,1,2,,-18926.632143562743,-22880.797590292146,,,,,,
